,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M01,1024,951,915,766,665,923,167,794,900,618,987,900,889,842,900,516,148,839,356,836
M02,943,1024,980,681,582,990,124,837,816,536,905,816,804,757,816,438,109,890,289,751
M03,895,977,1024,632,534,1013,103,865,766,489,856,766,755,708,766,395,89,924,253,702
M04,834,792,770,1024,927,775,351,698,914,881,856,914,922,958,914,776,323,725,597,962
M05,785,750,732,939,1024,736,437,671,850,979,803,850,857,885,850,876,406,694,697,889
M06,906,989,1013,644,546,1024,108,858,778,501,868,778,767,720,778,405,94,916,262,714
M07,620,608,601,672,699,603,1024,578,643,713,627,643,645,655,643,750,991,587,831,656
M08,686,771,820,433,347,808,39,1024,559,309,647,559,548,503,559,233,33,939,129,498
M09,918,863,835,894,794,841,248,741,1024,746,947,1024,1013,968,1024,641,224,777,469,962
M10,765,733,716,905,981,720,481,660,824,1024,781,824,830,856,824,923,449,681,744,860
M11,989,922,888,804,704,896,190,777,938,657,1024,938,927,881,938,554,169,819,389,875
M12,918,863,835,894,794,841,248,741,1024,746,947,1024,1013,968,1024,641,224,777,469,962
M13,910,856,829,905,805,835,256,737,1013,758,938,1013,1024,979,1013,653,232,772,479,973
M14,879,830,805,951,852,811,290,721,972,805,905,972,982,1024,972,699,265,753,523,1018
M15,918,863,835,894,794,841,248,741,1024,746,947,1024,1013,968,1024,641,224,777,469,962
M16,726,699,686,840,902,689,581,639,774,935,739,774,779,801,774,1024,547,657,849,804
M17,615,603,597,664,689,598,992,575,636,703,621,636,638,647,636,737,1024,583,813,649
M18,775,859,908,515,423,896,61,948,646,382,736,646,635,589,646,297,52,1024,176,583
M19,674,654,644,756,799,647,759,609,709,823,684,709,713,728,709,884,724,623,1024,730
M20,875,827,802,957,858,808,295,719,967,811,900,967,977,1018,967,705,269,750,529,1024
